Requirement,AC,Test Case,Test Type,Priority,Test File,Notes
FR-005,AC-005-05,TC-INT-50-19,positive,P1,mode-dispatch-integration.test.cjs,Confirmation adapts to roster
FR-005,AC-005-05,BC-04,behavioral,P1,,Confirmation sequence adapts
FR-005,AC-005-06,TC-PL-05,positive,P0,persona-loader.test.cjs,All 8 personas returned
FR-005,AC-005-06,TC-INT-50-15,positive,P1,mode-dispatch-integration.test.cjs,ROUNDTABLE_CONTEXT all personas
FR-006,AC-006-01,TC-CP-01,positive,P1,roundtable-config-prepopulate.test.cjs,Verbosity pre-selection
FR-006,AC-006-01,TC-INT-50-12,positive,P1,persona-override-integration.test.cjs,User can change verbosity
FR-006,AC-006-02,TC-CP-05,positive,P1,roundtable-config-prepopulate.test.cjs,Default personas pre-populate
FR-006,AC-006-02,TC-CP-06,positive,P1,roundtable-config-prepopulate.test.cjs,Recommendations not forced
FR-006,AC-006-02,TC-INT-50-11,positive,P1,persona-override-integration.test.cjs,User choice wins
FR-006,AC-006-03,TC-CP-09,positive,P2,roundtable-config-prepopulate.test.cjs,Disabled excluded
FR-006,AC-006-03,TC-CP-10,positive,P2,roundtable-config-prepopulate.test.cjs,Disabled still available
FR-006,AC-006-03,TC-CP-11,positive,P2,roundtable-config-prepopulate.test.cjs,Disabled beats default
FR-006,AC-006-04,TC-CP-13,positive,P0,roundtable-config-prepopulate.test.cjs,Backward compatibility
FR-006,AC-006-04,TC-CP-14,positive,P2,roundtable-config-prepopulate.test.cjs,Unknown keys ignored
FR-006,AC-006-04,TC-CP-15,negative,P1,roundtable-config-prepopulate.test.cjs,Malformed YAML defaults
FR-006,AC-006-04,TC-INT-50-14,positive,P0,persona-override-integration.test.cjs,Existing config works
FR-006,AC-006-04,TC-E2E-07,positive,P1,mode-selection-e2e.test.cjs,Existing fields preserved
FR-006,AC-006-05,TC-CP-03,positive,P1,roundtable-config-prepopulate.test.cjs,Missing config defaults
FR-006,AC-006-05,TC-CP-07,positive,P2,roundtable-config-prepopulate.test.cjs,Empty defaults
FR-006,AC-006-05,TC-CP-08,positive,P1,roundtable-config-prepopulate.test.cjs,3 primaries recommended by default
FR-006,AC-006-05,TC-CP-16,negative,P2,roundtable-config-prepopulate.test.cjs,Read error defaults
FR-006,AC-006-05,TC-INT-50-13,positive,P1,persona-override-integration.test.cjs,No config + no flags = defaults
FR-007,AC-007-01,TC-DOC-01,positive,P3,persona-authoring-docs.test.cjs,Template creation section
FR-007,AC-007-02,TC-DOC-02,positive,P3,persona-authoring-docs.test.cjs,Override section
FR-007,AC-007-03,TC-DOC-03,positive,P3,persona-authoring-docs.test.cjs,Disabling section
FR-007,AC-007-04,TC-DOC-04,positive,P3,persona-authoring-docs.test.cjs,Four analysis modes
FR-007,AC-007-05,TC-DOC-05,positive,P3,persona-authoring-docs.test.cjs,Frontmatter schema
FR-007,AC-007-06,TC-DOC-06,positive,P3,persona-authoring-docs.test.cjs,Discoverable link
