FR_ID,AC_ID,User_Story_ID,Test_ID,Test_File,Test_Type,Priority,Confidence,Source
FR-006,AC-006-02,US-006,TC-PV-APPENDIX-BC,tests/prompt-verification/ (appendix-structure check, future),prompt-verification,P2,High,preservation-inventory §13
FR-006,AC-006-03,US-006,TC-PV-RESUME-REF,tests/prompt-verification/ (single resume ref check),prompt-verification,P2,High,preservation-inventory §10
FR-007,AC-007-01,US-007,TC-PV-001,tests/prompt-verification/anti-shortcut-enforcement.test.js,prompt-verification,P0,High,roundtable decision
FR-007,AC-007-02,US-007,TC-PV-002,tests/prompt-verification/state-local-template-binding.test.js,prompt-verification,P0,High,roundtable decision
FR-007,AC-007-03,US-007,TC-PV-003,tests/prompt-verification/confirmation-sequencing-v2.test.js,prompt-verification,P0,High,roundtable decision
FR-007,AC-007-04,US-007,TC-PV-004,tests/prompt-verification/rendering-mode-invariants.test.js,prompt-verification,P0,High,roundtable decision
FR-007,AC-007-05,US-007,TC-PV-005,tests/prompt-verification/persona-extension-composition.test.js,prompt-verification,P0,High,roundtable decision
FR-007,AC-007-06,US-007,TC-PV-006,tests/prompt-verification/participation-gate.test.js,prompt-verification,P0,High,roundtable decision
FR-007,AC-007-07,US-007,TC-PV-007,tests/prompt-verification/tasks-render-as-table.test.js,prompt-verification,P0,High,roundtable decision
FR-008,AC-008-01,US-008,hook-audit-report,docs/requirements/REQ-GH-235-.../hook-audit-report.md (artifact in T032),artifact-exists,P1,High,roundtable decision (scope C)
FR-008,AC-008-02,US-008,existing-hook-tests,src/claude/hooks/tests/ (updated existing tests T037),hook-regression,P1,High,hook audit finding
FR-008,AC-008-03,US-008,TC-HK-001;TC-HK-002;TC-HK-003,src/claude/hooks/tests/tasks-as-table-validator.test.cjs;participation-gate-enforcer.test.cjs;persona-extension-composer-validator.test.cjs,hook,P0,High,roundtable decision (3 new hooks)
FR-008,AC-008-04,US-008,npm-test-green,npm test (aggregate pass),aggregate,P0,High,existing hook test suite
FR-009,AC-009-01,US-009,TC-PV-008,tests/prompt-verification/bug-roundtable-rewritten-contract.test.js,prompt-verification,P1,High,roundtable decision (include bug)
FR-009,AC-009-02,US-009,TC-PV-008,tests/prompt-verification/bug-roundtable-rewritten-contract.test.js,prompt-verification,P1,High,roundtable architecture ADR-005
FR-009,AC-009-03,US-009,TC-PV-008,tests/prompt-verification/bug-roundtable-rewritten-contract.test.js,prompt-verification,P0,High,bug templates existing
FR-009,AC-009-04,US-009,TC-PV-008,tests/prompt-verification/bug-roundtable-rewritten-contract.test.js,prompt-verification,P0,High,roundtable decision
FR-010,AC-010-01,US-010,manual-review,CLAUDE.md (Phase 08 manual review),docs-review,P2,Medium,Article VIII documentation currency
FR-010,AC-010-02,US-010,manual-review,docs/AGENTS.md (Phase 08 manual review),docs-review,P2,Medium,Article VIII req 8
FR-010,AC-010-03,US-010,manual-review,docs/isdlc/persona-authoring-guide.md (Phase 08 manual review),docs-review,P2,Medium,inferred from persona extensibility
