Requirement,AC,Test Case,Test Type,Priority,Module
FR-005,AC-005-01,ME-029,positive,Must Have,memory-embedder.js
FR-005,AC-005-01,ME-035,positive,Must Have,memory-embedder.js
FR-005,AC-005-01,ME-036,positive,Must Have,memory-embedder.js
FR-005,AC-005-01,INT-004,positive,Must Have,integration
FR-005,AC-005-01,PT-004,positive,Must Have,performance
FR-005,AC-005-02,ME-032,positive,Must Have,memory-embedder.js
FR-005,AC-005-03,ME-033,negative,Must Have,memory-embedder.js
FR-005,AC-005-03,INT-006,negative,Must Have,integration
FR-005,AC-005-03,INT-017,negative,Must Have,integration
FR-005,AC-005-04,ME-034,positive,Must Have,memory-embedder.js
FR-006,AC-006-01,HS-017,positive,Must Have,memory-search.js
FR-006,AC-006-01,HS-022,positive,Must Have,memory-search.js
FR-006,AC-006-01,HS-023,positive,Must Have,memory-search.js
FR-006,AC-006-01,HS-024,positive,Must Have,memory-search.js
FR-006,AC-006-01,INT-004,positive,Must Have,integration
FR-006,AC-006-01,PT-002,positive,Must Have,performance
FR-006,AC-006-02,HS-018,negative,Must Have,memory-search.js
FR-006,AC-006-02,INT-006,negative,Must Have,integration
FR-006,AC-006-03,HS-019,positive,Must Have,memory-search.js
FR-006,AC-006-04,HS-020,positive,Must Have,memory-search.js
FR-006,AC-006-05,HS-021,positive,Must Have,memory-search.js
FR-007,AC-007-01,ME-046,positive,Should Have,memory-embedder.js
FR-007,AC-007-02,ME-044,positive,Should Have,memory-embedder.js
FR-007,AC-007-02,ME-045,negative,Should Have,memory-embedder.js
FR-007,AC-007-03,ME-047,positive,Should Have,memory-embedder.js
FR-007,AC-007-03,INT-009,positive,Should Have,integration
FR-007,AC-007-03,INT-010,positive,Should Have,integration
FR-007,AC-007-04,ME-048,negative,Should Have,memory-embedder.js
FR-007,AC-007-04,INT-017,negative,Should Have,integration
FR-008,AC-008-01,INT-011,positive,Should Have,integration
FR-008,AC-008-02,INT-012,positive,Should Have,integration
FR-008,AC-008-03,HS-029,positive,Should Have,memory-search.js
FR-008,AC-008-03,INT-013,positive,Should Have,integration
FR-008,AC-008-04,HS-028,positive,Should Have,memory-search.js
FR-008,AC-008-04,INT-013,positive,Should Have,integration
