Requirement,AC,Test Case,Test Type,Priority,Description
FR-005,AC-005-02,TC-021,positive,P0,Single-domain confirmation passes
FR-005,AC-005-02,TC-022,positive,P0,Collapsed three-domain triggers violation
FR-005,AC-005-02,TC-023,positive,P0,Two-domain collapse triggers violation
FR-005,AC-005-02,TC-074,positive,P0,End-to-end domain confirmation enforcement
FR-005,AC-005-03,TC-027,positive,P0,Response with elicitation question passes
FR-005,AC-005-03,TC-028,positive,P0,Analysis complete without question triggers violation
FR-005,AC-005-03,TC-029,positive,P1,Response with both question and analysis passes
FR-005,AC-005-03,TC-030,positive,P1,Elicitation check skipped in PRESENTING_* state
FR-005,AC-005-03,TC-075,positive,P0,End-to-end elicitation-first enforcement
FR-005,AC-005-04,TC-022,positive,P0,Requirements + Architecture + Design in one message blocked
FR-005,AC-005-04,TC-021,positive,P0,Single domain at correct state passes
FR-005,AC-005-05,TC-024,positive,P1,Architecture confirmation when state is PRESENTING_ARCHITECTURE
FR-005,AC-005-05,TC-025,negative,P1,Architecture confirmation when state is PRESENTING_REQUIREMENTS
FR-005,AC-005-05,TC-026,positive,P1,Confirmation check skipped when state is IDLE
FR-005,AC-005-05,TC-011,negative,P0,State-dependent rule skipped when roundtable state is null
FR-006,AC-006-01,TC-059,positive,P0,Codex output validation detects bulleted violation
FR-006,AC-006-02,TC-060,positive,P0,Codex re-invoked with corrective guidance on block
FR-006,AC-006-03,TC-061,positive,P0,Codex retry limit — escalation after 3
FR-006,AC-006-04,TC-062,positive,P1,Codex reads state.json for context
FR-006,AC-006-05,TC-063,negative,P1,Codex-only rule not evaluated in Claude hook
FR-006,AC-006-05,TC-007,positive,P0,Filter by provider_scope — codex only
FR-006,AC-006-06,TC-064,positive,P0,Codex validates output via runtime-side inspection
FR-006,AC-006-06,TC-069,positive,P1,Codex validation — no violation passes through
FR-006,AC-006-07,TC-059,positive,P0,Non-bulleted Codex output rejected and retried
FR-006,AC-006-08,TC-065,positive,P0,Collapsed domain confirmation blocked in Codex
FR-006,AC-006-09,TC-066,positive,P0,Analysis without elicitation blocked in Codex
FR-006,AC-006-10,TC-064,positive,P0,Implemented via runtime-side inspection not hooks
FR-006,AC-006-11,TC-067,negative,P0,Codex fail-open on parsing error
FR-006,AC-006-11,TC-068,negative,P0,Codex fail-open on state lookup failure
FR-006,AC-006-12,TC-070,positive,P1,Automated tests cover retry/correction behavior
